name,url,start_time,start_date,end_time,end_date,duration,venue_name,venue_address,longitude,latitude,summary,is_online_event,tickets_url,tags,event_id,data_source,image,age_range,min_age,max_age
Taller de juegos (infantil) Biblioteca Gabriel Gª Márquez,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3a1f32fa46a61910VgnVCM1000001d4a900aRCRD,18:00,2024-10-17,,2025-05-29,,Biblioteca Pública Municipal Gabriel García Márquez (Usera),PLAZA PUEBLO 2,-3.701141063083806,40.366768324753416,"Reuniones periódicas en las que se descubrirán diferentes juegos. Los juegos que se realizarán serán tanto actuales como tradicionales. Juegos en equipo, juegos de mesa, juegos motores, juegos de memoria. Saber ganar, saber perder, canalizar la frustración...  Todas las actividades que vamos a realizar serán educativas con el objetivo de que aprendan mientras se divierten.  Dirigido a público infantil, de 6 a 10 años.   Mensual: el taller se desarrolla un jueves al mes, de 18 a 19:30 horas. Para participar es impresindible realizar inscripción previa en este enlace.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3a1f32fa46a61910VgnVCM1000001d4a900aRCRD,['Niños'],12458636,ayuntamiento madrid,,6-10,6.0,10.0
Taller de magia infantil,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e05e6a6496686910VgnVCM1000001d4a900aRCRD,,2025-05-10,,2025-05-31,,Centro Cultural Hortaleza,CALLE SANTA VIRGILIA 15,-3.6420497457238,40.47682410775741,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e05e6a6496686910VgnVCM1000001d4a900aRCRD,"['Niños,Familias']",12766295,ayuntamiento madrid,,,,
Taller de música en familia,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=92a921d4febe5910VgnVCM2000001f4a900aRCRD,,2025-05-11,,2025-05-11,,Casa del Lector,PASEO CHOPERA 14,-3.6972067902718897,40.39245798191536,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=92a921d4febe5910VgnVCM2000001f4a900aRCRD,['Familias'],12737714,ayuntamiento madrid,,,,
Taller de música en familia,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0a7921d4febe5910VgnVCM2000001f4a900aRCRD,,2025-06-08,,2025-06-08,,Casa del Lector,PASEO CHOPERA 14,-3.6972067902718897,40.39245798191536,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0a7921d4febe5910VgnVCM2000001f4a900aRCRD,['Familias'],12737713,ayuntamiento madrid,,,,
Taller de teatro infantil,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eea4daef40686910VgnVCM1000001d4a900aRCRD,,2025-05-10,,2025-05-31,,Centro Cultural Carril del Conde (Hortaleza),CALLE CARRIL DEL CONDE 57,-3.654366821391548,40.46089499555313,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eea4daef40686910VgnVCM1000001d4a900aRCRD,"['Niños,Familias']",12765900,ayuntamiento madrid,,,,
Taller de traducción para pequeños lingüistas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bb59828cf1936910VgnVCM1000001d4a900aRCRD,12:00,2025-05-24,,2025-05-24,,Matadero Madrid,PLAZA LEGAZPI 8,-3.6958028442054074,40.39130985242181,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bb59828cf1936910VgnVCM1000001d4a900aRCRD,"['Niños,Familias']",12755065,ayuntamiento madrid,,,,
Taller y concierto infantil - Vibra Tó,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3346fa9f39b76910VgnVCM2000001f4a900aRCRD,11:00,2025-05-25,,2025-05-25,,Centro Cultural Galileo (Chamberí),CALLE GALILEO 39,-3.7104468992841753,40.433719454283505,"Auditorio del Centro Cultural Galileo.   Horario: 11 h. taller y a las 12:30 h. concierto.    ¿Te gustaría aprender a fabricar tu propio instrumento? El taller de construcción de instrumentos musicales con materiales reciclados, del colectivo Vibra-Tó, es una actividad en la que aprenderemos y comprenderemos las cualidades del sonido, técnicas de construcción de instrumentos musicales y modos de empleo de los materiales y técnicas de obtención del sonido entre otros contenidos.   Durante el taller construiremos los instrumentos más representativos de cada familia; aerófonos, membranófonos, idiófonos, cordófonos incluso electrófonos, aprendiendo sus fundamentos de ejecución y principios acústicos. Una experiencia musical creativa y participativa para descubrir el inmenso placer de construir, reutilizar, reciclar y hacer música.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3346fa9f39b76910VgnVCM2000001f4a900aRCRD,['Niños'],12763250,ayuntamiento madrid,,,,
Taller 'Insectos y otros pequeños habitantes de La Cabaña',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d010df9f4b586910VgnVCM2000001f4a900aRCRD,16:30,2025-05-10,,2025-05-10,,Aula ambiental La Cabaña del Retiro,PASEO FERNAN NUÑEZ 10,-3.6793179644920584,40.40912277790706,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d010df9f4b586910VgnVCM2000001f4a900aRCRD,['Niños'],12765692,ayuntamiento madrid,,,,
Taller 'Insectos y otros pequeños habitantes de La Cabaña',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b210df9f4b586910VgnVCM2000001f4a900aRCRD,11:00,2025-05-25,,2025-05-25,,Aula ambiental La Cabaña del Retiro,PASEO FERNAN NUÑEZ 10,-3.6793179644920584,40.40912277790706,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b210df9f4b586910VgnVCM2000001f4a900aRCRD,['Niños'],12765693,ayuntamiento madrid,,,,
Taller 'Pequeños científicos: vigilantes del suelo',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=199b51d1bf586910VgnVCM2000001f4a900aRCRD,16:30,2025-05-31,,2025-05-31,,Aula ambiental La Cabaña del Retiro,PASEO FERNAN NUÑEZ 10,-3.6793179644920584,40.40912277790706,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=199b51d1bf586910VgnVCM2000001f4a900aRCRD,['Familias'],12765827,ayuntamiento madrid,,,,
Talleres creativos en idioma serbio,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=394cdaa14d721910VgnVCM2000001f4a900aRCRD,11:00,2024-09-22,,2025-06-22,,Biblioteca Pública Municipal Iván de Vargas (Centro),CALLE SAN JUSTO 5,-3.7098591212735883,40.41410290844665,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=394cdaa14d721910VgnVCM2000001f4a900aRCRD,['Niños'],12428706,ayuntamiento madrid,,,,
Talleres de Price (De 7 a 9 años),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f981045e3fd15910VgnVCM1000001d4a900aRCRD,10:00,2025-03-29,,2025-06-14,,Teatro Circo Price,RONDA ATOCHA 35,-3.698589986849812,40.40596936645757,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f981045e3fd15910VgnVCM1000001d4a900aRCRD,['Niños'],12693461,ayuntamiento madrid,,7-9,7.0,9.0
Talleres del Price (5 y 6 años),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=12a1045e3fd15910VgnVCM1000001d4a900aRCRD,10:00,2025-03-29,,2025-06-14,,Teatro Circo Price,RONDA ATOCHA 35,-3.698589986849812,40.40596936645757,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=12a1045e3fd15910VgnVCM1000001d4a900aRCRD,['Niños'],12693464,ayuntamiento madrid,,5-6,5.0,6.0
